date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,lag1,lag2,lag3,lag4,lag5,return,return1,return2,return3,return4,return5,EWMA_5,Rate of Change,CCI,ForceIndex,direction
2013-11-05,-0.225411796607,-0.232898788161,-0.223775005128,-0.228754702934,-0.164479901501,0.00300541992027,0.00490304689343,-0.226383962954,-0.232328467122,-0.240546934711,-0.181470407091,-0.193846523545,-0.218691817316,-0.224394108779,-0.222618866984,-0.225677887789,-0.21496586881,-0.22541426452,0.00497495744665,-0.0162471242784,0.0266773032424,-0.094574765651,0.0925386575298,0.0126285356312,-0.229114795595,0.00484504375708,-0.425308518198,-0.00568145362962,1.0
2013-11-06,-0.224066178549,-0.233557353372,-0.233019877149,-0.225951244815,-0.161879358586,-0.0484176280875,-0.0863000578931,-0.229744672456,-0.233430957909,-0.241698261136,-0.191919065929,-0.196594154077,-0.221790359749,-0.223379349309,-0.223998205196,-0.222236582824,-0.225298048715,-0.214572409044,-0.0859684936724,0.00497813946996,-0.0161710108684,0.0267269634426,-0.0946994805636,0.0925227658798,-0.232285717227,-0.0680335230951,-0.426860463827,-0.0124598427857,-1.0
2013-11-07,-0.229961743434,-0.24179493721,-0.237004223834,-0.233605378075,-0.175641309681,-0.0220509650008,-0.0397282597042,-0.231812537589,-0.234749861189,-0.243075586206,-0.202188836762,-0.20077164024,-0.226501370922,-0.23262422133,-0.222983445726,-0.223615921035,-0.22185674375,-0.22490458895,-0.039797692848,-0.085965311649,0.00505425288001,-0.0161213506681,0.0266022485299,-0.0947153722136,-0.235728018547,-0.0455859664078,-0.457620969091,-0.00982419223383,-1.0
2013-11-08,-0.236867734132,-0.246087261676,-0.246985600013,-0.240535092267,-0.177229197089,-0.052109114348,-0.0940620242579,-0.236614486426,-0.23684599813,-0.245264573072,-0.205598180538,-0.204325517038,-0.230509128854,-0.236608568015,-0.232228317747,-0.222601161565,-0.223236081961,-0.221463283984,-0.0941295694057,-0.0397945108247,-0.085889198239,0.00510391308025,-0.0162460655808,0.0265863568799,-0.241445853182,-0.0944394006586,-0.425126600038,-0.0136067910133,-1.0
2013-11-11,-0.243881919795,-0.25143549796,-0.244553850623,-0.243978734678,-0.189599012728,0.0101076185486,0.0178396575014,-0.240640167484,-0.238443875628,-0.246814563772,-0.207827236959,-0.207839761389,-0.235480420419,-0.246589944194,-0.236212664432,-0.231846033586,-0.222221322491,-0.222842622196,0.0182292645888,-0.0941263873824,-0.0397183974146,-0.0858395380388,0.0049791981676,-0.0162619572308,-0.244360694773,-0.0806552842372,-0.344239984045,-0.0116712227076,1.0
2013-11-12,-0.239814152773,-0.246131104704,-0.237173197357,-0.237239952645,-0.178921163013,0.0349123809648,0.0631177946295,-0.243369263123,-0.23946688749,-0.24743656004,-0.211284293327,-0.218923923663,-0.23828414036,-0.244158194804,-0.246194040611,-0.235830380271,-0.231466194512,-0.221827862726,0.0633005714783,0.0182324466121,-0.0940502739724,-0.0396687372144,-0.0859642529514,0.0049633065176,-0.243741473113,-0.0572903635755,-0.0380187934711,-0.0106181461144,1.0
2013-11-13,-0.237996356125,-0.251332788767,-0.253055484034,-0.246304862403,-0.167915666676,-0.0816854986553,-0.147748958281,-0.247450436416,-0.243276768795,-0.249293215567,-0.212729309561,-0.225553734092,-0.239382570596,-0.236777541538,-0.24376229122,-0.24581175645,-0.235450541197,-0.231072734747,-0.147428734793,0.0633037535016,0.0183085600221,-0.0940006137721,-0.039793452127,-0.0859801446014,-0.248790675833,-0.0824865483965,-0.383322925767,-0.0132401414036,-1.0
2013-11-14,-0.248328217663,-0.257423903778,-0.248039847861,-0.248969489132,-0.171816806851,0.0230585061317,0.0424192176567,-0.24969818368,-0.245486219063,-0.250494541692,-0.211813771686,-0.230768000569,-0.240743405526,-0.252659828215,-0.236381637954,-0.24338000706,-0.245431917376,-0.235057081432,0.0422804752821,-0.14742555277,0.0633798669117,0.0183582202224,-0.0941253286848,-0.039809343777,-0.250421244327,-0.0494009634316,-0.328656501497,-0.0102275910056,1.0
2013-11-15,-0.243697351913,-0.235497790625,-0.23388739701,-0.240376606097,-0.127124375373,0.0688538020183,0.125860356078,-0.247030191851,-0.24657849569,-0.250508541608,-0.199819307571,-0.22598245531,-0.237439181911,-0.247644192042,-0.252263924631,-0.235999353794,-0.243000167986,-0.245038457611,0.125716071643,0.0422836573054,-0.14734943936,0.0634295271119,0.0182335053097,-0.0941412203348,-0.246654357358,0.041114071592,0.342558746911,-0.000849285675665,1.0
2013-11-18,-0.225109032544,-0.219446030098,-0.209958970766,-0.223377092475,-0.0907899264391,0.117852681991,0.211241986091,-0.23998361329,-0.24503200818,-0.248891884641,-0.176165655105,-0.214039888405,-0.231130678583,-0.233491741191,-0.247248288458,-0.251881640471,-0.23561951472,-0.24260670822,0.211026175848,0.125719253667,0.0423597707154,-0.14729977916,0.0633048121993,0.0182176136597,-0.235952552075,0.121807327565,0.418623627953,0.0133723972759,1.0
