datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
1990-01-01,0.0,100000.0,0.0,100000.0,,,
1990-01-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-31,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-25,122.2955,99870.2898,1.3,99992.5853,-7.41470000001e-05,0.999925853,7.41470000001e-05
1990-05-29,125.3528,99870.2898,1.3,99995.6426,3.05752670644e-05,0.999956426,4.3574e-05
1990-05-30,126.4994,99870.2898,1.3,99996.7892,1.14664996413e-05,0.999967892,3.21079999999e-05
1990-05-31,126.1172,99870.2898,1.3,99996.407,-3.82212272076e-06,0.99996407,3.59299999999e-05
1990-06-01,124.5885,99870.2898,1.3,99994.8783,-1.52875492816e-05,0.999948783,5.12169999999e-05
1990-06-04,124.5885,99870.2898,1.3,99994.8783,0.0,0.999948783,5.12169999999e-05
1990-06-05,120.7668,99870.2898,1.3,99991.0566,-3.82189574604e-05,0.999910566,8.94339999999e-05
1990-06-06,120.7668,99870.2898,1.3,99991.0566,0.0,0.999910566,8.94339999999e-05
1990-06-07,119.2381,99870.2898,1.3,99989.5279,-1.52883672998e-05,0.999895279,0.000104721
1990-06-08,116.945,99870.2898,1.3,99987.2348,-2.29334016087e-05,0.999872348,0.000127652
1990-06-11,119.2381,99870.2898,1.3,99989.5279,2.29339275617e-05,0.999895279,0.000104721
1990-06-12,123.8241,99870.2898,1.3,99994.1139,4.58648030079e-05,0.999941139,5.8861e-05
1990-06-13,121.5311,99870.2898,1.3,99991.8209,-2.29313497623e-05,0.999918209,8.17910000001e-05
1990-06-14,121.5311,99870.2898,1.3,99991.8209,0.0,0.999918209,8.17910000001e-05
1990-06-15,120.7668,99870.2898,1.3,99991.0566,-7.64362517969e-06,0.999910566,8.94339999999e-05
1990-06-18,120.0024,99870.2898,1.3,99990.2922,-7.64468369463e-06,0.999902922,9.70779999999e-05
1990-06-19,121.1489,99870.2898,1.3,99991.4387,1.14661131074e-05,0.999914387,8.56129999998e-05
1990-06-20,122.2955,99870.2898,1.3,99992.5853,1.14669817226e-05,0.999925853,7.41469999999e-05
1990-06-21,128.028,99870.2898,1.3,99998.3178,5.73292507922e-05,0.999983178,1.68219999996e-05
1990-06-22,126.8815,99870.2898,1.3,99997.1713,-1.14651928675e-05,0.999971713,2.82869999997e-05
1990-06-25,126.1172,99870.2898,1.3,99996.407,-7.64321620372e-06,0.99996407,3.59299999998e-05
1990-06-26,124.2063,99870.2898,1.3,99994.4961,-1.91096866109e-05,0.999944961,5.50389999997e-05
1990-06-27,126.8815,99870.2898,1.3,99997.1713,2.67534724843e-05,0.999971713,2.82869999998e-05
1990-06-28,131.4676,99870.2898,1.3,100001.7574,4.58622973067e-05,1.000017574,0.0
1990-06-29,136.818,99870.2898,1.3,100007.1078,5.35030597373e-05,1.000071078,0.0
1990-07-02,134.525,99870.2898,1.3,100004.8148,-2.29283702974e-05,1.000048148,2.29300000001e-05
1990-07-03,134.525,99870.2898,1.3,100004.8148,0.0,1.000048148,2.29300000001e-05
1990-07-05,132.9963,99870.2898,1.3,100003.2861,-1.52862639969e-05,1.000032861,3.82170000002e-05
1990-07-06,136.818,99870.2898,1.3,100007.1078,3.82157441925e-05,1.000071078,0.0
1990-07-09,142.5506,99870.2898,1.3,100012.8404,5.73219256721e-05,1.000128404,0.0
1990-07-10,143.6972,99870.2898,1.3,100013.987,1.14645279088e-05,1.00013987,0.0
1990-07-11,143.6972,99870.2898,1.3,100013.987,0.0,1.00013987,0.0
1990-07-12,144.8437,99870.2898,1.3,100015.1335,1.14633966148e-05,1.000151335,0.0
1990-07-13,142.9328,99870.2898,1.3,100013.2226,-1.91061085771e-05,1.000132226,1.91090000001e-05
1990-07-16,139.4932,99870.2898,1.3,100009.783,-3.43914525558e-05,1.00009783,5.35050000001e-05
1990-07-17,135.2893,99870.2898,1.3,100005.5791,-4.20348877269e-05,1.000055791,9.55440000001e-05
1990-07-18,136.4359,99870.2898,1.3,100006.7257,1.1465360336e-05,1.000067257,8.40780000002e-05
1990-07-19,127.6459,99870.2898,1.3,99997.9357,-8.78940885072e-05,0.999979357,0.000171978
1990-07-20,125.3528,99870.2898,1.3,99995.6426,-2.29314733745e-05,0.999956426,0.000194909
1990-07-23,126.8815,99870.2898,1.3,99997.1713,1.52876661448e-05,0.999971713,0.000179622
1990-07-24,128.7924,99870.2898,1.3,99999.0822,1.91095405515e-05,0.999990822,0.000160513
1990-07-25,129.1746,99870.2898,1.3,99999.4644,3.82203507865e-06,0.999994644,0.000156691
1990-07-26,126.4994,99870.2898,1.3,99996.7892,-2.67521432844e-05,0.999967892,0.000183443
1990-07-27,126.4994,99870.2898,1.3,99996.7892,0.0,0.999967892,0.000183443
1990-07-30,129.5567,99870.2898,1.3,99999.8465,3.05739816695e-05,0.999998465,0.00015287
1990-07-31,128.4102,99870.2898,1.3,99998.7,-1.14650175989e-05,0.999987,0.000164335
1990-08-01,129.5567,99870.2898,1.3,99999.8465,1.1465149047e-05,0.999998465,0.00015287
1990-08-02,132.9963,99870.2898,1.3,100003.2861,3.4396052798e-05,1.000032861,0.000118474
1990-08-03,126.1172,99870.2898,1.3,99996.407,-6.87887395333e-05,0.99996407,0.000187265
1990-08-06,120.7668,99870.2898,1.3,99991.0566,-5.35059224678e-05,0.999910566,0.000240769
1990-08-07,120.7668,99870.2898,1.3,99991.0566,0.0,0.999910566,0.000240769
1990-08-08,122.6776,99870.2898,1.3,99992.9674,1.91097090576e-05,0.999929674,0.000221661
1990-08-09,120.7668,99870.2898,1.3,99991.0566,-1.91093438837e-05,0.999910566,0.000240769
1990-08-10,118.4737,99870.2898,1.3,99988.7635,-2.29330509944e-05,0.999887635,0.0002637
1990-08-13,121.9133,99870.2898,1.3,99992.2031,3.43998653409e-05,0.999922031,0.000229304
1990-08-14,121.5311,99870.2898,1.3,99991.8209,-3.82229802087e-06,0.999918209,0.000233126
1990-08-15,120.0024,99870.2898,1.3,99990.2922,-1.52882504413e-05,0.999902922,0.000248413
1990-08-16,117.7094,99870.2898,1.3,99987.9992,-2.29322262145e-05,0.999879992,0.000271343
