date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,lag1,lag2,lag3,lag4,lag5,return,return1,return2,return3,return4,return5,EWMA_5,Rate of Change,CCI,ForceIndex
2013-11-19,2427.928,2427.928,2412.163,2405.076,78648296.0,-16.74,-0.69,2356.883,2344.237,2359.456,78446776.8,66304780.4,69677387.29,2428.903,2350.734,2304.501,2288.116,2340.0,-0.689200021574,3.32530179935,2.00620438004,0.716091317049,-2.21726495726,1.04111207402,2378.00769773,0.0308388888889,73.705423497,5675496984.25
2013-11-20,2428.767,2435.427,2424.85,2406.417,72291800.0,12.687,0.53,2384.23,2351.365,2363.089,80935370.4,67156294.0,69822632.44,2412.163,2428.903,2350.734,2304.501,2288.116,0.525959481179,-0.689200021574,3.32530179935,2.00620438004,0.716091317049,-2.21726495726,2393.63237076,0.0597583339306,55.2897798615,9884746981.2
2013-11-21,2412.451,2415.383,2409.989,2382.878,87706680.0,-14.861,-0.61,2405.328,2358.309,2365.557,87014635.2,70444787.2,70763898.11,2424.85,2412.163,2428.903,2350.734,2304.501,-0.612862651298,0.525959481179,-0.689200021574,3.32530179935,2.00620438004,0.716091317049,2399.08704107,0.0457747685942,9.68180349015,9252002259.84
2013-11-22,2415.29,2418.999,2397.962,2393.581,75000672.0,-12.027,-0.5,2414.773,2367.311,2367.178,84736416.0,72566003.6,70975736.8,2409.989,2424.85,2412.163,2428.903,2350.734,-0.499047920966,-0.612862651298,0.525959481179,-0.689200021574,3.32530179935,2.00620438004,2398.71191457,0.0200907461244,-51.5801232835,3542131737.22
2013-11-25,2385.784,2418.853,2388.629,2380.689,66144736.0,-9.333,-0.39,2406.719,2374.585,2368.311,75958436.8,74606531.6,71139166.0,2397.962,2409.989,2424.85,2412.163,2428.903,-0.389205500337,-0.499047920966,-0.612862651298,0.525959481179,-0.689200021574,3.32530179935,2395.35026908,-0.0165811479503,-75.1941282378,-2663913097.66
2013-11-26,2387.826,2399.022,2387.416,2380.412,59185864.0,-1.213,-0.05,2401.769,2379.326,2369.079,72065950.4,75256363.6,68761567.6,2388.629,2397.962,2409.989,2424.85,2412.163,-0.0507822688245,-0.389205500337,-0.499047920966,-0.612862651298,0.525959481179,-0.689200021574,2392.70515918,-0.0102592569408,-73.9098158955,-1464672576.41
2013-11-27,2386.362,2422.806,2414.481,2383.78,75294088.0,27.065,1.13,2399.695,2391.963,2369.43,72666408.0,76800889.2,67917365.6,2387.416,2388.629,2397.962,2409.989,2424.85,1.13365245102,-0.0507822688245,-0.389205500337,-0.499047920966,-0.612862651298,0.525959481179,2399.96441962,-0.00427614079221,68.3585190145,-780724398.472
2013-11-28,2419.15,2460.556,2439.53,2417.235,90660408.0,25.049,1.04,2405.604,2405.466,2372.721,73257153.6,80135894.4,68313538.0,2414.481,2387.416,2388.629,2397.962,2409.989,1.03744862768,1.13365245102,-0.0507822688245,-0.389205500337,-0.499047920966,-0.612862651298,2413.1537299,0.0122577322967,111.199597264,2678199112.73
2013-11-29,2442.676,2446.395,2438.944,2432.387,61803744.0,-0.586,-0.02,2413.8,2414.287,2375.42,70617768.0,77677092.0,68250937.2,2439.53,2414.481,2387.416,2388.629,2397.962,-0.0240210204425,1.03744862768,1.13365245102,-0.0507822688245,-0.389205500337,-0.499047920966,2421.75082707,0.0170903458854,70.4959071609,2532841036.61
2013-12-02,2423.969,2464.863,2418.788,2397.007,119655120.0,-20.156,-0.83,2419.832,2413.275,2377.336,81319844.8,78639140.8,71643770.2,2438.944,2439.53,2414.481,2387.416,2388.629,-0.82642323891,-0.0240210204425,1.03744862768,1.13365245102,-0.0507822688245,-0.389205500337,2420.76319197,0.0126260712735,20.2451557065,3608678764.08
2013-12-03,2410.693,2448.333,2442.784,2406.663,74455752.0,23.996,0.99,2430.905,2416.337,2380.287,84373822.4,78219886.4,72262333.4,2418.788,2438.944,2439.53,2414.481,2387.416,0.992067101375,-0.82642323891,-0.0240210204425,1.03744862768,1.13365245102,-0.0507822688245,2428.10359051,0.0231916012961,18.1628869539,4122466076.74
2013-12-04,2439.824,2486.64,2475.135,2434.694,102650232.0,32.351,1.32,2443.036,2421.366,2386.366,89845051.2,81255729.6,74206011.8,2442.784,2418.788,2438.944,2439.53,2414.481,1.32434959456,0.992067101375,-0.82642323891,-0.0240210204425,1.03744862768,1.13365245102,2443.78091096,0.0251209266091,111.8566446,6226147171.73
2013-12-05,2476.453,2481.747,2468.197,2460.576,77708928.0,-6.938,-0.28,2448.77,2427.187,2392.748,87254755.2,80255954.4,75350370.8,2475.135,2442.784,2418.788,2438.944,2439.53,-0.280307942799,1.32434959456,0.992067101375,-0.82642323891,-0.0240210204425,1.03744862768,2451.91967098,0.0117510340106,78.8692884256,2227681838.98
2013-12-06,2463.043,2470.813,2452.287,2445.623,66114088.0,-15.91,-0.65,2451.438,2432.619,2399.965,88116824.0,79367296.0,75966649.8,2468.197,2475.135,2442.784,2418.788,2438.944,-0.644600086622,-0.280307942799,1.32434959456,0.992067101375,-0.82642323891,-0.0240210204425,2452.04211462,0.00547081031791,20.3794335244,882160276.184
2013-12-09,2460.028,2468.948,2450.872,2445.94,57164884.0,-1.415,-0.06,2457.855,2438.843,2406.714,75618776.8,78469310.8,76537921.2,2452.287,2468.197,2475.135,2442.784,2418.788,-0.0577012396999,-0.644600086622,-0.280307942799,1.32434959456,0.992067101375,-0.82642323891,2451.65207506,0.0132644944493,-3.20670641211,1834078138.26
2013-12-10,2456.23,2466.66,2453.322,2444.526,66941424.0,2.45,0.1,2459.963,2445.434,2412.38,74115911.2,79244866.8,77250615.2,2450.872,2452.287,2468.197,2475.135,2442.784,0.0999644208265,-0.0577012396999,-0.644600086622,-0.280307942799,1.32434959456,0.992067101375,2452.208718,0.00431393033522,-52.9553174483,705428726.112
2013-12-11,2440.503,2440.503,2412.763,2400.742,68075144.0,-40.559,-1.65,2447.488,2445.262,2418.613,67200893.6,78522972.4,77661930.8,2453.322,2450.872,2452.287,2468.197,2475.135,-1.65322774589,0.0999644208265,-0.0577012396999,-0.644600086622,-0.280307942799,1.32434959456,2439.06012501,-0.0251994335663,-112.634440715,-4245982881.57
2013-12-12,2406.766,2423.309,2410.015,2402.769,50147720.0,-2.748,-0.11,2435.852,2442.311,2423.888,61688652.0,74471703.6,77303799.0,2412.763,2453.322,2450.872,2452.287,2468.197,-0.1138943195,-1.65322774589,0.0999644208265,-0.0577012396999,-0.644600086622,-0.280307942799,2429.3784067,-0.0235726726837,-81.627602416,-2917694645.04
2013-12-13,2388.659,2416.26,2406.639,2386.246,51501196.0,-3.376,-0.14,2426.722,2439.08,2426.683,58766073.6,73441448.8,75559270.4,2410.015,2412.763,2453.322,2450.872,2452.287,-0.140082115671,-0.1138943195,-1.65322774589,0.0999644208265,-0.0577012396999,-0.644600086622,2421.79859926,-0.0186144607055,-69.0849625754,-2350926595.01
2013-12-16,2408.678,2412.734,2367.923,2367.43,64581672.0,-38.716,-1.61,2410.132,2433.994,2423.634,60249431.2,67934104.0,73286622.4,2406.639,2410.015,2412.763,2453.322,2450.872,-1.6087165545,-0.140082115671,-0.1138943195,-1.65322774589,0.0999644208265,-0.0577012396999,2403.84005795,-0.0338446887475,-79.3689357808,-5356985110.73
2013-12-17,2369.255,2373.286,2356.376,2351.183,48483892.0,-11.547,-0.49,2390.743,2425.353,2420.845,56557924.8,65336918.0,71778402.2,2367.923,2406.639,2410.015,2412.763,2453.322,-0.487642545809,-1.6087165545,-0.140082115671,-0.1138943195,-1.65322774589,0.0999644208265,2388.01870047,-0.0395162151564,-98.3939697598,-4700319393.83
2013-12-18,2356.703,2368.583,2357.226,2350.451,40015208.0,0.85,0.04,2379.636,2413.562,2417.464,50945937.6,59073415.6,70164572.6,2356.376,2367.923,2406.639,2410.015,2412.763,0.0360723415957,-0.487642545809,-1.6087165545,-0.140082115671,-0.1138943195,-1.65322774589,2377.75446489,-0.023018008814,-67.7110721465,-2222324606.7
2013-12-19,2366.205,2370.991,2332.41,2331.194,48095680.0,-24.816,-1.05,2364.115,2399.983,2413.585,50535529.6,56112090.8,68184022.6,2357.226,2356.376,2367.923,2406.639,2410.015,-1.05276286618,0.0360723415957,-0.487642545809,-1.6087165545,-0.140082115671,-0.1138943195,2362.63964121,-0.0322010443918,-72.8201300633,-3732465246.4
2013-12-20,2335.052,2338.875,2278.136,2278.096,65204208.0,-54.274,-2.33,2338.414,2382.568,2407.594,53276132.0,56021102.8,67694199.4,2332.41,2357.226,2356.376,2367.923,2406.639,-2.32694937854,-1.05276286618,0.0360723415957,-0.487642545809,-1.6087165545,-0.140082115671,2334.47175826,-0.053395212161,-107.556049659,-8378936340.62
